UNK,1
melatonin,4
sleep,4
author,3
took,2
take,4
feeling,4
like,0
night,1
one,7
two,7
happy,2
think,3
need,5
cannot,5
zero,7
get,5
taking,3
asleep,3
work,6
three,7
time,3
pills,2
feel,1
tonight,5
good,0
going,5
lol,1
still,4
last,0
bed,0
help,3
valerian,3
five,7
echinacea,2
dreams,1
four,7
would,1
sleeping,3
awake,6
wake,6
fall,5
hours,0
really,6
got,4
tired,1
well,1
even,1
better,3
right,5
much,1
know,1
shit,1
try,2
tea,2
gonna,3
could,0
want,5
tried,4
day,0
works,2
actually,1
sad,1
make,5
helps,3
life,0
tomorrow,6
never,4
back,5
root,4
six,7
makes,4
ago,3
insomnia,6
sleepy,3
ever,0
morning,0
hope,5
every,0
mom,4
since,6
wish,4
love,0
taken,5
today,0
hour,1
eight,7
slept,6
though,3
might,2
trying,5
guess,5
maybe,3
hopefully,5
getting,6
something,4
already,4
fuck,0
pill,2
best,0
see,3
always,4
put,5
body,6
sure,1
bad,1
early,1
start,0
cant,5
way,1
use,4
little,1
nyquil,2
keep,2
crazy,1
hate,3
seven,7
also,3
nights,5
gave,3
soon,1
forgot,3
wide,0
give,3
woke,6
nine,7
ass,1
bottle,2
used,4
dream,0
brain,6
without,5
enough,1
knock,2
cause,1
friend,5
stay,5
stuff,2
thought,4
worked,3
made,1
thing,2
find,5
first,1
cold,4
kick,5
wanna,5
weird,1
late,6
working,3
let,5
pass,2
week,0
instead,2
pretty,1
yeah,1
found,5
haha,4
sick,1
fucking,0
ugh,3
thanks,2
started,6
probably,5
days,6
gives,1
yet,1
mind,6
long,0
home,0
benadryl,4
able,1
vitamin,2
dont,4
anymore,1
eyes,3
natural,2
real,1
told,3
thinking,0
meds,6
next,0
finally,6
either,1
remember,6
usually,0
minutes,0
schedule,6
twitter,3
great,0
waking,6
stop,1
coffee,2
sometimes,1
god,0
drink,2
say,0
come,0
swear,3
bought,0
someone,5
said,4
goodnight,5
stjohnswort,4
school,6
nothing,6
may,5
went,5
damn,0
new,5
half,2
popped,5
thank,5
pop,4
helped,3
ill,0
please,0
head,3
people,0
idea,2
bit,3
nightmares,6
ambien,4
seriously,1
kicking,5
past,6
things,6
making,1
whole,0
hrs,4
ready,2
almost,6
lot,6
anything,1
literally,1
hoping,5
tablets,2
least,1
man,4
hard,6
earlier,2
gotta,5
dose,2
around,6
knocked,4
caffeine,6
room,6
yes,6
later,3
anxiety,6
knocks,4
thats,0
wonder,3
done,2
okay,1
away,6
tell,1
nap,2
buy,0
exhausted,3
many,1
another,1
rest,5
pic,3
com,6
cuz,1
problem,6
side,6
left,2
wait,5
ive,4
fucked,1
till,6
aid,5
soo,0
years,4
open,3
vivid,0
throat,5
helping,6
effect,3
falling,1
waiting,4
baby,1
system,6
idk,1
die,1
medicine,2
read,6
phone,0
super,1
called,4
high,6
house,5
dad,4
look,3
times,4
hit,4
doctor,3
didnt,2
tylenol,4
eat,2
fell,4
starting,1
wtf,4
bring,5
couple,3
levels,6
girl,4
seems,2
drinking,2
watch,3
wrong,0
supplements,2
tho,1
realized,6
supposed,2
lately,6
alarm,6
sucks,6
wonders,3
kicks,3
immune,4
normal,5
friends,0
hot,5
takes,3
heard,4
accidentally,4
lets,3
pain,3
everything,5
mean,5
light,3
sorry,0
effects,1
trouble,6
call,4
drank,2
hell,0
worse,1
vitamins,2
extra,4
wow,1
groggy,1
glad,6
class,6
old,6
chamomile,4
turn,5
supplement,2
must,4
drowsy,3
headache,0
shower,2
felt,1
whenever,1
reason,4
mine,6
bout,2
gets,6
using,6
drugs,2
gummies,2
shut,3
definitely,5
lmao,4
knew,0
anyone,6
world,0
problems,6
weeks,6
til,6
omg,3
water,2
full,0
wine,2
drug,5
fast,1
everyone,0
giving,1
ran,0
plus,2
scared,6
face,2
end,0
watching,5
straight,6
advil,2
black,0
apparently,3
hear,5
nice,5
issues,6
ate,2
year,0
worst,0
luck,2
job,1
excited,0
lay,3
amount,3
else,5
tweet,0
wanted,5
kicked,3
kind,5
cool,0
kill,1
kids,4
puts,5
kinda,1
pineal,0
point,6
believe,6
mood,6
barely,3
stress,6
gone,4
laying,0
forget,5
less,6
bedtime,3
stopped,6
talk,3
doesnt,3
hmm,1
become,0
forever,1
thoughts,6
dosage,2
yesterday,1
far,0
ask,0
energy,4
cycle,6
midnight,6
cat,6
herbal,3
zzquil,2
dead,1
gland,0
needs,0
meletonin,1
bunch,2
longer,3
keeps,5
fix,5
smh,0
mad,1
feels,1
run,3
stupid,1
looks,1
set,4
fact,1
insomniac,5
middle,0
coming,4
coma,4
leave,4
clock,6
parents,3
anyway,2
eating,2
person,0
lots,2
food,2
double,2
fighting,1
music,3
mins,0
months,4
dog,1
totally,0
fight,6
remembered,2
asked,1
awesome,4
drops,2
skin,3
ton,2
hahaha,1
crap,6
milk,2
goes,0
ibuprofen,2
fml,3
weirdest,0
dear,5
fun,3
big,5
course,6
dark,6
amazing,5
staying,0
needed,5
break,0
fine,1
cup,4
passed,5
play,4
drunk,1
quite,3
seem,5
pissed,1
second,0
brought,5
hella,4
game,1
xanax,4
moment,2
afraid,4
addicted,1
dude,4
reading,6
oil,2
happens,4
sweet,5
happen,0
yay,3
calm,5
says,4
recommended,2
sounds,4
messed,6
havent,0
unless,3
prescription,6
invest,5
relax,5
sister,2
understand,6
came,5
wondering,0
homework,3
otherwise,5
heart,3
miss,0
guys,1
cough,3
oops,2
means,5
family,5
popping,2
quick,4
